start_station_name,year,number_of_rides
Jeffery Blvd & 76th St,2019,125
Morgan St & Pershing Rd,2019,125
Wabash Ave & 87th St,2019,125
Perry Ave & 69th St,2019,124
Vernon Ave & 75th St,2019,124
Austin Blvd & Chicago Ave,2019,123
Greenwood Ave & 79th St,2019,123
Karlov Ave & Madison St,2019,122
Ashland Ave & Garfield Blvd,2019,116
Kedzie Ave & 24th St,2019,116
Pulaski Rd & Congress Pkwy,2019,115
Stony Island Ave & 75th St,2019,115
Yates Blvd & 75th St,2019,115
Cottage Grove Ave & 83rd St,2019,110
Central Ave & Lake St,2019,101
Central Park Blvd & 5th Ave,2019,98
Kostner Ave & Adams St,2019,97
Marshfield Ave & 44th St,2019,90
State St & 54th St,2019,89
MLK Jr Dr & 56th St (*),2019,87
Cicero Ave & Lake St,2019,86
Ashland Ave & 50th St,2019,85
Latrobe Ave & Chicago Ave,2019,85
Phillips Ave & 83rd St,2019,83
Ashland Ave & 63rd St,2019,81
Halsted St & 69th St,2019,78
Elizabeth St & 47th St,2019,77
Central Ave & Harrison St,2019,75
Halsted St & 56th St,2019,70
Vernon Ave & 79th St,2019,70
Laramie Ave & Kinzie St,2019,69
Phillips Ave & 79th St,2019,69
Stony Island Ave & 82nd St,2019,68
Cottage Grove Ave & 78th St,2019,66
Cicero Ave & Quincy St,2019,61
Shields Ave & 43rd St,2019,61
Central Park Ave & 24th St,2019,60
Damen Ave & 51st St,2019,60
Kenton Ave & Madison St,2019,60
State St & 76th St,2019,60
Ashland Ave & 69th St,2019,57
Ellis Ave & 83rd St,2019,55
Ashland Ave & 66th St,2019,54
Laramie Ave & Gladys Ave,2019,51
Cottage Grove Ave & 71st St,2019,49
Bennett Ave & 79th St,2019,48
Eggleston Ave & 69th St (*),2019,46
Woodlawn Ave & 75th St,2019,45
Evans Ave & 75th St,2019,43
Throop St & 52nd St,2019,43
Stewart Ave & 63rd St (*),2019,40
Commercial Ave & 83rd St,2019,39
Exchange Ave & 79th St,2019,39
Marshfield Ave & 59th St,2019,38
Damen Ave & 59th St,2019,37
Halsted St & 59th St,2019,36
South Chicago Ave & 83rd St,2019,36
May St & 69th St,2019,34
Calumet Ave & 71st St,2019,33
Wabash Ave & 83rd St,2019,32
Cicero Ave & Flournoy St,2019,29
Halsted St & 51st St,2019,27
DIVVY Map Frame B/C Station,2019,26
Stony Island Ave & South Chicago Ave,2019,26
Vincennes Ave & 75th St,2019,23
Kostner Ave & Lake St,2019,20
Rhodes Ave & 71st St,2019,17
Seeley Ave & Garfield Blvd,2019,17
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),2019,15
Carpenter St & 63rd St,2019,13
South Chicago Ave & Elliot Ave,2019,13
Michigan Ave & 71st St,2019,11
Racine Ave & 65th St,2019,10
Racine Ave & 61st St,2019,9
Elizabeth St & 59th St,2019,8
DIVVY CASSETTE REPAIR MOBILE STATION,2019,3
LBS - BBB La Magie,2019,1
Special Events,2019,1
Streeter Dr & Grand Ave,2020,35097
Clark St & Elm St,2020,31591
Theater on the Lake,2020,29399
Lake Shore Dr & Monroe St,2020,28958
Lake Shore Dr & North Blvd,2020,26441
Wells St & Concord Ln,2020,24809
Indiana Ave & Roosevelt Rd,2020,24390
Millennium Park,2020,24015
Dearborn St & Erie St,2020,23991
Columbus Dr & Randolph St,2020,23598
Broadway & Barry Ave,2020,23543
Clark St & Armitage Ave,2020,23443
Wells St & Huron St,2020,22687
Wells St & Elm St,2020,22209
Kingsbury St & Kinzie St,2020,22170
Wabash Ave & Grand Ave,2020,21932
Clark St & Lincoln Ave,2020,21863
St. Clair St & Erie St,2020,21604
Michigan Ave & Oak St,2020,21490
Desplaines St & Kinzie St,2020,21235
Lake Shore Dr & Wellington Ave,2020,21152
Wabash Ave & Roosevelt Rd,2020,20945
Michigan Ave & Lake St,2020,20575
Larrabee St & Webster Ave,2020,20058
Fairbanks Ct & Grand Ave,2020,19396
Dearborn Pkwy & Delaware Pl,2020,18986
Wells St & Evergreen Ave,2020,18870
Lakeview Ave & Fullerton Pkwy,2020,18778
Michigan Ave & Washington St,2020,18491
Lake Shore Dr & Belmont Ave,2020,18431
Clinton St & Madison St,2020,18279
Clark St & Schiller St,2020,18057
Wilton Ave & Belmont Ave,2020,17962
Broadway & Cornelia Ave,2020,17862
Lake Shore Dr & Diversey Pkwy,2020,17820
Clark St & Drummond Pl,2020,17170
Pine Grove Ave & Waveland Ave,2020,17056
Clark St & Wrightwood Ave,2020,17023
Ashland Ave & Division St,2020,16707
Wells St & Hubbard St,2020,16705
Kingsbury St & Erie St,2020,16452
Lincoln Ave & Fullerton Ave,2020,16254
Stockton Dr & Wrightwood Ave,2020,16214
Lakefront Trail & Bryn Mawr Ave,2020,15769
Halsted St & Roscoe St,2020,15658
Broadway & Waveland Ave,2020,15585
Clark St & Wellington Ave,2020,15578
McClurg Ct & Illinois St,2020,15553
Green St & Madison St,2020,15287
McClurg Ct & Erie St,2020,15202
Damen Ave & Pierce Ave,2020,14967
Bissell St & Armitage Ave,2020,14949
Wabash Ave & 9th St,2020,14830
Canal St & Adams St,2020,14759
Rush St & Cedar St,2020,14679
Mies van der Rohe Way & Chestnut St,2020,14668
LaSalle St & Illinois St,2020,14648
State St & Kinzie St,2020,14603
Montrose Harbor,2020,14393
Daley Center Plaza,2020,14337
Dearborn St & Monroe St,2020,14084
State St & Randolph St,2020,13996
Sheffield Ave & Wellington Ave,2020,13988
