start_station_name,year,number_of_rides
Cicero Ave & Roscoe St,2022,4
Evans Ave & 63rd St,2022,4
Ewing Ave & 105th St,2022,4
Ewing Ave & 96th St,2022,4
Ingleside Ave & 79th St,2022,4
Kilbourn Ave & Fullerton Ave,2022,4
Kildare Ave & 63rd St,2022,4
Langley Ave & 105th Pl,2022,4
Latrobe Ave & Lake St,2022,4
Mackinaw Ave & 106th St,2022,4
McVicker Ave & Grand Ave,2022,4
Menard Ave & Agusta Blvd,2022,4
Menard Ave & Madison St,2022,4
Morgan St & 87th St,2022,4
Oleander Ave & Addison St,2022,4
Public  Rack - Albany Ave & 63rd St,2022,4
Public Rack - Al Raby School,2022,4
Public Rack - Ashland Ave & 91st St,2022,4
Public Rack - Austin Blvd & North Ave,2022,4
Public Rack - Ewing Ave & 107th St,2022,4
Public Rack - Halsted St & 64th St,2022,4
Public Rack - Harvey Ave & North Ave,2022,4
Public Rack - Homan Ave & 26th St,2022,4
Public Rack - Houston Ave & 131st St,2022,4
Public Rack - Kedzie Ave & 54th St - SE,2022,4
Public Rack - Kedzie Ave & 61st Pl E,2022,4
Public Rack - Langley Ave & 49th St,2022,4
Public Rack - Maplewood Ave & 47th St,2022,4
Public Rack - Mt Greenwood Library N,2022,4
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,2022,4
Public Rack - Stony Island & 87th St,2022,4
Throop St & 58th St,2022,4
WestChi,2022,4
Western Ave & 105th St,2022,4
Western Ave & 111th St - SE,2022,4
Western Ave & 118th St,2022,4
Ashland Ave & 45th St,2022,3
Ashland Ave & 45th St - midblock south,2022,3
Ashland Ave & 46th St,2022,3
Avenue J & 112th St,2022,3
Calumet Ave & 103rd St,2022,3
Cottage Grove Ave & 91st St,2022,3
Emerald Ave & 45th St,2022,3
Ewing Ave & 106th St,2022,3
Forrestville Ave & 47th St,2022,3
Green St & 103rd St,2022,3
Halsted St & 95th St - SW,2022,3
Harvard Ave & 103rd St,2022,3
Homan Ave & 111th St,2022,3
Houston Ave & 91st St,2022,3
Kedzie Ave & 64th St - SE,2022,3
Kimbark Ave & 63rd St,2022,3
Lincoln Ave & Roscoe St - Charging,2022,3
McCormick Blvd & Devon Ave,2022,3
Menard Ave & Grand Ave,2022,3
Newcastle Ave & Belmont Ave,2022,3
Perry Ave & 108th Pl,2022,3
Piotrowski Park,2022,3
Pittsburgh Ave & Irving Park,2022,3
Public Rack - Ashland Ave & 45th St,2022,3
Public Rack - Ashland Ave & 63rd St,2022,3
Public Rack - Ashland Ave & 76th St,2022,3
Public Rack - Central Park Ave & Fulton Blvd,2022,3
Public Rack - Cottage Grove Ave & 87th St,2022,3
Public Rack - Division St & Christiana Ave,2022,3
Public Rack - Eggleston Ave & 115th St,2022,3
Public Rack - Grand Ave & Lawndale Ave,2022,3
Public Rack - Hamilton Ave & 95th St,2022,3
Public Rack - Hoyne Ave & 51st St,2022,3
Public Rack - Jeffery Blvd & 81st St,2022,3
Public Rack - Kedzie Ave & 61st Pl,2022,3
Public Rack - Kedzie Ave & Chicago Ave,2022,3
Public Rack - Kenneth Ave & 63rd St E,2022,3
Public Rack - Kolin Ave & Archer Ave,2022,3
Public Rack - Kostner Ave & Wrightwood Ave,2022,3
Public Rack - La Moyne Ave and Leamington Ave,2022,3
Public Rack - Lamon Ave & Erie St,2022,3
Public Rack - Latrobe Ave & Lake St,2022,3
Public Rack - McVicker Ave & Grand Ave,2022,3
Public Rack - Menard Ave & Belmont Ave,2022,3
Public Rack - Michigan Ave & 107th St,2022,3
Public Rack - Michigan Ave & 113th St,2022,3
Public Rack - Neva Ave & Grand Ave,2022,3
Public Rack - Pulaski Rd & 15th St,2022,3
Public Rack - Pulaski Rd & 40th St,2022,3
Public Rack - Pulaski Rd & 51st Rd,2022,3
Public Rack - Pulaski Rd & 5th Ave,2022,3
Public Rack - Saginaw Ave & 93rd St,2022,3
Public Rack - Talman Ave & Pershing Rd,2022,3
Public Rack - Vincennes Ave & 95th St,2022,3
Public Rack - Wallace St & 119th St,2022,3
Public Rack - Western Ave & 104th St - East,2022,3
Public Rack - Western Ave & 107th Pl,2022,3
Public Rack - Zapata Academy,2022,3
Pulaski Rd & 40th St,2022,3
Spaulding Ave & Foster Ave,2022,3
Stony Is Ave & 73rd St,2022,3
Torrence Ave  & 106th St,2022,3
Western Ave & 106th St - East,2022,3
Western Ave & 111th St - SW,2022,3
Western Ave & 116th St,2022,3
Ashland Ave & 76th St,2022,2
Austin Ave & Wellington Ave - midblock,2022,2
Austin Blvd & North Ave,2022,2
Avenue J & 106th St,2022,2
Avenue M & 132nd St,2022,2
Back of the Yards Park,2022,2
Buffalo Ave & 133rd St,2022,2
Central Ave & North Ave,2022,2
Chappel Ave & 71st St,2022,2
Chase Ave & Touhy Ave - NE,2022,2
Cicero Ave & Cortland St - midblock,2022,2
Cicero Ave & Le Moyne St - midblock,2022,2
Colfax Ave & 83rd St,2022,2
Eggleston Ave & 114th St,2022,2
Ellis Ave & 132nd Pl,2022,2
Ewing Ave & 101st St,2022,2
Ewing Ave & 112th St,2022,2
Ewing Ave & Indianapolis Ave,2022,2
Hale Ave & 111th St,2022,2
Halsted St & 102nd St,2022,2
Halsted St & 41st St,2022,2
Hamilton Ave & 95th St,2022,2
Hastings WH 2,2022,2
Jeffery Blvd & 83rd St,2022,2
Jeffrey Blvd & 71st St,2022,2
Karlov Ave & Milwaukee Ave,2022,2
Kildare Ave & Washignton Blvd,2022,2
Lafayette Ave & 119th St,2022,2
Lafayette Ave & 87th St - NW,2022,2
Laflin St & 51st St,2022,2
Lawrence Ave & 103rd St,2022,2
Linder Ave & Belmont Ave,2022,2
Lorel Ave & Chicago Ave,2022,2
Lowe Ave & 98th St,2022,2
Mackinaw Ave & 108th St,2022,2
Maryland Ave & 87th ST,2022,2
Mason Ave & Roosevelt Rd,2022,2
Menard Ave & Belmont Ave,2022,2
Michigan Ave & 119th St,2022,2
Morgan St & 103rd St,2022,2
Mt Greenwood Library - North,2022,2
Muskegon Ave & 89th St,2022,2
Newcastle Ave & Wellington Ave,2022,2
Newland Ave & Diversey Ave,2022,2
Normal Ave & 72nd St,2022,2
Orville T Bright School,2022,2
Ozark Ave & Addison St,2022,2
Public Rack - 63rd & Western Ave N,2022,2
Public Rack - Avers Ave & Archer Ave,2022,2
Public Rack - Baltimore Ave & 132nd St,2022,2
Public Rack - Bell Ave & 95th St,2022,2
Public Rack - Bensley Ave & 103rd St,2022,2
Public Rack - Buffalo Ave & 133rd St,2022,2
Public Rack - California Ave & Pershing Rd,2022,2
Public Rack - Central Park Ave & 16th St,2022,2
Public Rack - Commercial Ave & 89th St,2022,2
Public Rack - Cornell Ave & 87th Pl,2022,2
Public Rack - Cottage Grove & 85th St,2022,2
Public Rack - Cottage Grove & 86th St,2022,2
Public Rack - Cottage Grove Ave & 92nd St,2022,2
Public Rack - Emerald Ave & 45th St,2022,2
Public Rack - Ewing Ave & 106th St,2022,2
Public Rack - Halsted St & 76th St,2022,2
Public Rack - Homan Ave & Lake St,2022,2
Public Rack - Kedvale Ave & 26th St,2022,2
Public Rack - Kedzie & 103rd St - East,2022,2
Public Rack - Kedzie Ave & 60th St,2022,2
Public Rack - Kedzie Ave & 63rd St,2022,2
Public Rack - Kedzie Ave & 64th St - SE,2022,2
Public Rack - Kedzie Ave & Walnut St,2022,2
Public Rack - Kimbark Ave & 63rd St,2022,2
Public Rack - King Dr & 83rd St,2022,2
Public Rack - Kingston Ave & 75th St,2022,2
Public Rack - Laflin St & 51st St,2022,2
Public Rack - Langley Ave & Oakwood Blvd,2022,2
Public Rack - Marshfield Ave & 87th St,2022,2
Public Rack - May St & 78th St,2022,2
Public Rack - Menard Ave & Agusta Blvd,2022,2
Public Rack - Michigan Ave & 96th St,2022,2
Public Rack - Morgan St & 95th St,2022,2
Public Rack - Nordica Ave & Addison St,2022,2
Public Rack - Parnell Ave & 103rd St,2022,2
Public Rack - Paxton Ave & 79th St,2022,2
Public Rack - Percy Julian HS,2022,2
Public Rack - Perry Ave & 108th Pl,2022,2
Public Rack - Perry Ave & 111th St,2022,2
Public Rack - Peterson Ave & Drake Ave,2022,2
Public Rack - Prairie Ave & Garfield Blvd N,2022,2
Public Rack - Pulaski Rd & Flournoy St,2022,2
Public Rack - Pullman Community Center,2022,2
Public Rack - Racine Ave & 76th,2022,2
Public Rack - Richmond St & Thorndale Ave,2022,2
Public Rack - Walden Pkwy & 99th St,2022,2
Public Rack - Washington Park Ct & 51st St,2022,2
Public Rack - Western Ave & 107th St,2022,2
Public Rack - Western Ave & 79th St,2022,2
Public Rack - Western Ave & 98th St,2022,2
Public Rack - Whipple St & 26th St,2022,2
State St & 47th st,2022,2
Stewart Ave & 123rd St,2022,2
Western Ave & 104th St - East,2022,2
Western Ave & 106th St - West,2022,2
Zapata Academy,2022,2
10101 S Stony Island Ave,2022,1
83rd St (Avalon Park) Metra,2022,1
Ada St & 117th St,2022,1
Ada St & 79th St,2022,1
Ada St & 95th St,2022,1
Al Raby School,2022,1
Albany Ave & 103rd St,2022,1
Ashland Ave & 73rd St,2022,1
Austin Branch Chicago Public Library,2022,1
Avers Ave & Ogden Ave,2022,1
Baltimore Ave & 133rd St,2022,1
Bennett Ave & 96th St,2022,1
Bensley Ave & 103rd St,2022,1
California Ave & Ogden Ave,2022,1
Chopin Park,2022,1
Christiana Ave & Bryn Mawr Ave,2022,1
City Rack - Albany Ave & 103rd St,2022,1
Corliss Ave & 133rd St,2022,1
Cottage Grove Ave & 92nd St,2022,1
Damen Ave & 80th St,2022,1
Drexel Ave & 87th St,2022,1
Ewing Ave & 99th St,2022,1
Greenwood Ave & 87th St,2022,1
Halsted St & 64th St,2022,1
Halsted St & 95th St - SE,2022,1
Kedzie & 103rd St - East,2022,1
Keeler Ave & 55th St,2022,1
Kildare Ave & Division Ave,2022,1
Laflin St & 79th St,2022,1
Lake Park Ave & 44th St,2022,1
Lamon Ave & Archer Ave,2022,1
Lawndale Ave & Polk St,2022,1
Legler Regional Library,2022,1
Loomis Blvd & 83rd St,2022,1
Mackinaw Ave & 85th St,2022,1
Marshfield Ave & 87th St,2022,1
Martin Luther King Dr & 69th St,2022,1
May St & 63rd St,2022,1
Melvina Ave & Belmont Ave,2022,1
Menard Ave & Adams Blvd,2022,1
Michigan Ave & 102nd St,2022,1
Michigan Ave & 110th St,2022,1
Michigan Ave & 113th St,2022,1
Michigan Ave & 96th St,2022,1
Milwaukee Ave & Waveland Ave,2022,1
N Shore Channel Trail & Argyle Ave,2022,1
New England Ave & Grace St,2022,1
Oglesby Ave & 105th St,2022,1
Park Manor Elementary School,2022,1
Parnell Ave & 119th St,2022,1
Parnell Ave & 98th St,2022,1
Penn Elementary School / KIPP Ascend Middle School,2022,1
Plainfield Ave & Irving Park Rd,2022,1
Princeton Ave & 43rd St,2022,1
Public Rack - 10557 S Western Ave,2022,1
Public Rack - 53rd St & Indiana Ave,2022,1
Public Rack - 63rd & Western Ave S,2022,1
Public Rack - Abbott Park,2022,1
Public Rack - Albany Ave & 111th St - NW,2022,1
Public Rack - Ashland Ave & 71st St,2022,1
Public Rack - Austin Ave & Wellington Ave,2022,1
Public Rack - Austin Branch Chicago Public Library,2022,1
Public Rack - Avenue J & 102nd St,2022,1
Public Rack - Brighton Park Branch Chicago Library,2022,1
Public Rack - Buffalo Ave & 89th St,2022,1
Public Rack - Chappel Ave & 71st St,2022,1
Public Rack - Christiana Ave & 55th St,2022,1
Public Rack - Claremont Ave & 71st St,2022,1
Public Rack - Clyde Ave & 87th St,2022,1
Public Rack - Cottage Grove Ave & 98th St,2022,1
Public Rack - Damen Ave & 47th St,2022,1
Public Rack - East End Ave & 75th St,2022,1
Public Rack - Ellis Ave & Doty Ave,2022,1
Public Rack - Emerald Ave & 43rd St,2022,1
Public Rack - Ewing Ave & 95th St,2022,1
Public Rack - Ewing Ave & 96th St S,2022,1
Public Rack - Garfield Park Conservatory,2022,1
Public Rack - Halsted St & 102nd St,2022,1
Public Rack - Halsted St & 109th St,2022,1
Public Rack - Halsted St & 111th St,2022,1
Public Rack - Halsted St & 113th St,2022,1
Public Rack - Halsted St & 63rd St,2022,1
Public Rack - Harper Ave & 63rd St,2022,1
Public Rack - Harriet E Sayre Public School,2022,1
Public Rack - Homan Ave & Roosevelt,2022,1
Public Rack - Independence Blvd & Roosevelt,2022,1
Public Rack - Jeffery Blvd & 83rd St,2022,1
Public Rack - Kedvale Ave & 63rd St,2022,1
Public Rack - Kedzie Ave & 54th Pl,2022,1
Public Rack - Kedzie Ave & 54th St - SW,2022,1
Public Rack - Kedzie Ave & Arthington St,2022,1
Public Rack - Kedzie Ave & Pershing Rd,2022,1
Public Rack - Kedzie Ave &amp; 62nd Pl,2022,1
Public Rack - Keef Ave & South Chicago Ave,2022,1
Public Rack - Keeler Ave & 26th St,2022,1
Public Rack - Kildare Ave & 63rd St,2022,1
Public Rack - Komensky Ave & 59th St,2022,1
Public Rack - Kostner Ave & 16th St,2022,1
Public Rack - Kostner Ave & Lake St,2022,1
Public Rack - Lafayette Ave & 87th St SW,2022,1
Public Rack - Langley Ave & 87th St,2022,1
Public Rack - Laporte Ave & Armitage Ave,2022,1
Public Rack - Lawndale & 63rd St,2022,1
Public Rack - Loomis Blvd & 83rd St,2022,1
Public Rack - Maplewood Ave & 63rd St,2022,1
Public Rack - Marshfield Ave & 45th St,2022,1
Public Rack - Martin Luther King Dr & 69th St,2022,1
Public Rack - Menard Ave & Adams Blvd,2022,1
Public Rack - Michele Clark Magnet High School,2022,1
Public Rack - Michigan Ave & 119th St,2022,1
Public Rack - Newcastle Ave & Belmont Ave,2022,1
Public Rack - Oakley Ave & 50th Pl,2022,1
Public Rack - Ozark Ave & Addison St,2022,1
Public Rack - Pulaski Rd &amp; 65th St,2022,1
Public Rack - Pullman - Planet Fitness,2022,1
Public Rack - Racine Ave & 74th St,2022,1
Public Rack - Robert Fulton Elementary School,2022,1
Public Rack - Roscoe St & Osceola Ave,2022,1
Public Rack - Roswell B. Mason Elementary School,2022,1
Public Rack - Rutherford Ave & Belmont Ave,2022,1
Public Rack - Sawyer Ave & Chicago Ave,2022,1
Public Rack - Spencer Elementary Technology Academy,2022,1
Public Rack - Union Ave & 111th St,2022,1
Public Rack - Wabash Ave & 87th St,2022,1
Public Rack - Wentworth Ave & 79th St,2022,1
Public Rack - West Chatham Park,2022,1
Public Rack - Western Ave & 100th St,2022,1
Public Rack - Western Ave & 104th St - West,2022,1
Public Rack - Western Ave & 106th St - East,2022,1
Public Rack - Western Ave & 111th St - NW,2022,1
Public Rack - Western Ave & 116th St,2022,1
Public Rack - Western Ave & 118th St,2022,1
Public Rack - Yates Ave & 100th St,2022,1
Pullman Community Center,2022,1
Rhodes Ave & 79th St,2022,1
Sacramento Blvd & Washington Blvd,2022,1
Sangamon St & 79th St,2022,1
Stony Island Ave & 86th St,2022,1
Troy & 111th St,2022,1
Trumbull Ave & 111th St,2022,1
Tuley (Murray) Park,2022,1
Vincennes Ave & 95th Pl,2022,1
Wallace St & 112 St,2022,1
Wentworth Ave & 103rd St,2022,1
William Rainey Harper High School,2022,1
Yale Ave & 119th St,2022,1
Streeter Dr & Grand Ave,2023,59615
DuSable Lake Shore Dr & Monroe St,2023,38016
Michigan Ave & Oak St,2023,34784
DuSable Lake Shore Dr & North Blvd,2023,33164
Clark St & Elm St,2023,32967
Kingsbury St & Kinzie St,2023,32304
Clinton St & Washington Blvd,2023,30246
Wells St & Concord Ln,2023,30049
Millennium Park,2023,28112
Theater on the Lake,2023,28040
Wells St & Elm St,2023,27510
Broadway & Barry Ave,2023,24986
Clinton St & Madison St,2023,24724
Indiana Ave & Roosevelt Rd,2023,24610
Wilton Ave & Belmont Ave,2023,24036
University Ave & 57th St,2023,23960
Clark St & Armitage Ave,2023,23806
Ellis Ave & 60th St,2023,23567
State St & Chicago Ave,2023,23113
Wabash Ave & Grand Ave,2023,23104
Clark St & Lincoln Ave,2023,22973
Wells St & Huron St,2023,22716
Sheffield Ave & Fullerton Ave,2023,22529
Dearborn St & Erie St,2023,22123
Shedd Aquarium,2023,21722
Canal St & Adams St,2023,21445
Wells St & Hubbard St,2023,21205
Desplaines St & Kinzie St,2023,21153
Clinton St & Jackson Blvd,2023,21018
Clark St & Wrightwood Ave,2023,20993
Michigan Ave & Washington St,2023,20982
LaSalle St & Illinois St,2023,20881
Loomis St & Lexington St,2023,20522
Dusable Harbor,2023,20033
St. Clair St & Erie St,2023,20015
McClurg Ct & Ohio St,2023,19959
Larrabee St & Kingsbury St,2023,19954
Michigan Ave & Lake St,2023,19866
Lincoln Ave & Fullerton Ave,2023,19775
Broadway & Waveland Ave,2023,19599
DuSable Lake Shore Dr & Diversey Pkwy,2023,19590
Ashland Ave & Division St,2023,19527
Dearborn Pkwy & Delaware Pl,2023,19434
Halsted St & Clybourn Ave,2023,19222
Wabash Ave & Roosevelt Rd,2023,19219
Clark St & Newport St,2023,19142
New St & Illinois St,2023,19094
Pine Grove Ave & Waveland Ave,2023,19018
Clark St & Drummond Pl,2023,18774
Columbus Dr & Randolph St,2023,18724
Kingsbury St & Erie St,2023,18607
Larrabee St & Webster Ave,2023,18591
Broadway & Cornelia Ave,2023,18530
Green St & Madison St,2023,18478
Morgan St & Polk St,2023,18394
Montrose Harbor,2023,18386
Orleans St & Merchandise Mart Plaza,2023,18085
DuSable Lake Shore Dr & Belmont Ave,2023,18079
Ellis Ave & 55th St,2023,18011
Dearborn St & Monroe St,2023,17888
Lakeview Ave & Fullerton Pkwy,2023,17860
Damen Ave & Pierce Ave,2023,17829
Canal St & Madison St,2023,17826
Halsted St & Roscoe St,2023,17790
Sheffield Ave & Waveland Ave,2023,17684
Southport Ave & Waveland Ave,2023,17549
Southport Ave & Roscoe St,2023,17317
Wells St & Evergreen Ave,2023,17296
Daley Center Plaza,2023,17287
Halsted St & Wrightwood Ave,2023,17193
State St & 33rd St,2023,17131
Sheridan Rd & Irving Park Rd,2023,16921
Clark St & Schiller St,2023,16879
Michigan Ave & 8th St,2023,16719
Halsted St & Polk St,2023,16704
Sheffield Ave & Webster Ave,2023,16669
Clinton St & Lake St,2023,16605
Federal St & Polk St,2023,16364
DuSable Lake Shore Dr & Wellington Ave,2023,16280
Fairbanks Ct & Grand Ave,2023,16162
Peoria St & Jackson Blvd,2023,16151
Adler Planetarium,2023,16148
Wilton Ave & Diversey Pkwy,2023,15935
Franklin St & Jackson Blvd,2023,15658
State St & Randolph St,2023,15585
Sheffield Ave & Wrightwood Ave,2023,15525
Sheffield Ave & Wellington Ave,2023,15342
Ravenswood Ave & Lawrence Ave,2023,15062
Clark St & Wellington Ave,2023,14869
Clark St & Lake St,2023,14767
Pine Grove Ave & Irving Park Rd,2023,14686
MLK Jr Dr & 29th St,2023,14684
Franklin St & Monroe St,2023,14682
Broadway & Belmont Ave,2023,14673
Franklin St & Lake St,2023,14632
Racine Ave & Fullerton Ave,2023,14620
Canal St & Monroe St,2023,14522
LaSalle St & Jackson Blvd,2023,14473
Kimbark Ave & 53rd St,2023,14461
Stockton Dr & Wrightwood Ave,2023,14415
Milwaukee Ave & Grand Ave,2023,14388
Rush St & Cedar St,2023,14311
State St & Kinzie St,2023,14083
McClurg Ct & Erie St,2023,13990
Halsted St & Dickens Ave,2023,13925
Broadway & Sheridan Rd,2023,13834
Aberdeen St & Jackson Blvd,2023,13825
Halsted St & Fulton St,2023,13718
Sedgwick St & Huron St,2023,13707
Sedgwick St & North Ave,2023,13668
Rush St & Superior St,2023,13560
Sedgwick St & Webster Ave,2023,13526
Sheridan Rd & Montrose Ave,2023,13366
Clark St & Winnemac Ave,2023,13336
Canal St & Jackson Blvd,2023,13238
Clarendon Ave & Gordon Ter,2023,13225
Clark St & Randolph St,2023,13208
Wabash Ave & 9th St,2023,13094
Franklin St & Chicago Ave,2023,13079
Franklin St & Illinois St,2023,12825
Mies van der Rohe Way & Chicago Ave,2023,12782
Sheffield Ave & Kingsbury St,2023,12762
Southport Ave & Wellington Ave,2023,12741
Mies van der Rohe Way & Chestnut St,2023,12699
Desplaines St & Jackson Blvd,2023,12596
May St & Taylor St,2023,12388
Lincoln Ave & Diversey Pkwy,2023,12382
Burling St & Diversey Pkwy,2023,12345
Calumet Ave & 33rd St,2023,12124
Cityfront Plaza Dr & Pioneer Ct,2023,11992
Racine Ave & Belmont Ave,2023,11937
900 W Harrison St,2023,11827
Clark St & Grace St,2023,11813
Ogden Ave & Chicago Ave,2023,11792
Lincoln Park Conservatory,2023,11748
Wabash Ave & Wacker Pl,2023,11724
Wood St & Milwaukee Ave,2023,11710
Michigan Ave & Jackson Blvd,2023,11559
Michigan Ave & 14th St,2023,11336
Sangamon St & Lake St,2023,11323
Wells St & Walton St,2023,11201
Clark St & North Ave,2023,11192
Milwaukee Ave & Wabansia Ave,2023,11105
Dayton St & North Ave,2023,10975
Honore St & Division St,2023,10958
Lakefront Trail & Bryn Mawr Ave,2023,10958
Southport Ave & Belmont Ave,2023,10888
Field Blvd & South Water St,2023,10815
LaSalle Dr & Huron St,2023,10663
Kedzie Ave & Milwaukee Ave,2023,10598
Southport Ave & Wrightwood Ave,2023,10451
Carpenter St & Huron St,2023,10400
Larrabee St & Division St,2023,10336
Greenview Ave & Fullerton Ave,2023,10297
Broadway & Wilson Ave,2023,10264
Clark St & Berwyn Ave,2023,10205
Ritchie Ct & Banks St,2023,10152
Clark St & Chicago Ave,2023,10066
Stetson Ave & South Water St,2023,10046
Field Museum,2023,10035
Sheridan Rd & Buena Ave,2023,9998
Halsted St & Maxwell St,2023,9941
Financial Pl & Ida B Wells Dr,2023,9931
Aberdeen St & Randolph St,2023,9911
Clifton Ave & Armitage Ave,2023,9873
Clarendon Ave & Junior Ter,2023,9864
California Ave & Milwaukee Ave,2023,9858
Shore Dr & 55th St,2023,9724
Wells St & Polk St,2023,9703
Damen Ave & Cortland St,2023,9655
Desplaines St & Randolph St,2023,9647
Wacker Dr & Washington St,2023,9621
Halsted St & Willow St,2023,9607
Franklin St & Adams St (Temp),2023,9585
Rush St & Hubbard St,2023,9473
Woodlawn Ave & 55th St,2023,9430
Michigan Ave & Pearson St,2023,9428
Michigan Ave & Madison St,2023,9396
Wabash Ave & Adams St,2023,9362
Aberdeen St & Monroe St,2023,9194
Burnham Harbor,2023,9178
State St & Van Buren St,2023,9136
Jefferson St & Monroe St,2023,9061
Clark St & Leland Ave,2023,9046
Sheffield Ave & Willow St,2023,9032
Wolcott Ave & Polk St,2023,8987
Western Ave & Winnebago Ave,2023,8898
Halsted St & Roosevelt Rd,2023,8839
Dearborn St & Adams St,2023,8798
Elston Ave & Cortland St,2023,8741
Michigan Ave & 18th St,2023,8703
Wabash Ave & 16th St,2023,8625
Orleans St & Chestnut St (NEXT Apts),2023,8616
Damen Ave & Chicago Ave,2023,8607
Racine Ave & Congress Pkwy,2023,8587
Ellis Ave & 58th St,2023,8573
Bissell St & Armitage Ave*,2023,8558
State St & Pearson St,2023,8504
Rhodes Ave & 32nd St,2023,8411
Lake Park Ave & 56th St,2023,8317
Larrabee St & Oak St,2023,8297
Orleans St & Hubbard St,2023,8234
Ogden Ave & Race Ave,2023,8209
State St & Harrison St,2023,8008
Eckhart Park,2023,7972
Southport Ave & Clybourn Ave,2023,7944
Larrabee St & Armitage Ave,2023,7903
Paulina St & Flournoy St,2023,7865
Morgan St & Lake St*,2023,7850
Lakefront Trail & Wilson Ave,2023,7849
Southport Ave & Irving Park Rd,2023,7807
Clark St & Ida B Wells Dr,2023,7786
Clark St & Bryn Mawr Ave,2023,7735
LaSalle St & Washington St,2023,7718
Green St & Washington Blvd,2023,7706
Calumet Ave & 18th St,2023,7700
Broadway & Argyle St,2023,7698
Damen Ave & Thomas St (Augusta Blvd),2023,7563
Ashland Ave & Blackhawk St,2023,7450
Racine Ave & Wrightwood Ave,2023,7377
Michigan Ave & Ida B Wells Dr,2023,7326
Elizabeth St & Randolph St,2023,7318
Sangamon St & Washington Blvd,2023,7260
McCormick Place,2023,7114
Larrabee St & North Ave,2023,7066
Western Ave & Leland Ave,2023,7029
Clinton St & Roosevelt Rd,2023,6952
Ashland Ave & Grace St,2023,6905
Damen Ave & Division St,2023,6895
Delano Ct & Roosevelt Rd,2023,6889
Throop St & Taylor St,2023,6840
Wood St & Chicago Ave,2023,6819
Walsh Park,2023,6799
Broadway & Berwyn Ave,2023,6783
Fairbanks St & Superior St,2023,6745
Cornell Ave & Hyde Park Blvd,2023,6685
Leavitt St & North Ave,2023,6672
Clark St & Montrose Ave,2023,6649
Ashland Ave & Wellington Ave,2023,6587
Ashland Ave & Augusta Blvd,2023,6567
Sheridan Rd & Argyle St,2023,6545
Wells St & Institute Pl,2023,6528
Clybourn Ave & Division St,2023,6446
State St & 35th St,2023,6400
Paulina Ave & North Ave,2023,6357
Broadway & Thorndale Ave,2023,6336
Greenview Ave & Diversey Pkwy,2023,6267
Marine Dr & Ainslie St,2023,6220
Ada St & Washington Blvd,2023,6201
Lake Park Ave & 53rd St,2023,6199
Wood St & Taylor St (Temp),2023,6151
Canal St & Taylor St,2023,6105
Wood St & Augusta Blvd,2023,6050
Loomis St & Jackson Blvd,2023,6011
Winthrop Ave & Lawrence Ave,2023,5984
Lincoln Ave & Roscoe St*,2023,5981
Damen Ave & Leland Ave,2023,5972
Western Ave & Walton St,2023,5944
Broadway & Granville Ave,2023,5938
Ashland Ave & Chicago Ave,2023,5896
Emerald Ave & 31st St,2023,5836
Sheridan Rd & Noyes St (NU),2023,5823
Dearborn St & Van Buren St,2023,5774
Hermitage Ave & Polk St,2023,5771
Elizabeth St & Fulton St,2023,5730
Ashland Ave & Lake St,2023,5729
Sheridan Rd & Lawrence Ave,2023,5716
Orleans St & Elm St,2023,5706
Cannon Dr & Fullerton Ave,2023,5668
Broadway & Ridge Ave,2023,5645
Seeley Ave & Roscoe St,2023,5624
Western Ave & Division St,2023,5613
Larrabee St & Menomonee St,2023,5577
Racine Ave & 18th St,2023,5563
Ellis Ave & 53rd St,2023,5562
Clarendon Ave & Leland Ave,2023,5560
Clark St & 9th St (AMLI),2023,5490
Leavitt St & Armitage Ave,2023,5425
Wolcott (Ravenswood) Ave & Montrose Ave,2023,5415
Lincoln Ave & Sunnyside Ave,2023,5348
Campbell Ave & North Ave,2023,5306
Damen Ave & Grand Ave,2023,5273
Logan Blvd & Elston Ave,2023,5232
Green St & Randolph St*,2023,5217
Damen Ave & Charleston St,2023,5213
Indiana Ave & 31st St,2023,5069
N Green St & W Lake St,2023,5040
Ravenswood Ave & Irving Park Rd,2023,5039
Leavitt St & Chicago Ave,2023,5030
California Ave & Cortez St,2023,5025
Benson Ave & Church St,2023,5023
Shields Ave & 31st St,2023,5013
Museum of Science and Industry,2023,5003
Ashland Ave & Grand Ave,2023,4985
Western Ave & Fillmore St,2023,4975
Racine Ave & Washington Blvd,2023,4971
Noble St & Milwaukee Ave,2023,4919
Leavitt St & Division St,2023,4908
Clinton St & Tilden St,2023,4900
Blue Island Ave & 18th St,2023,4879
LaSalle St & Adams St,2023,4782
Racine Ave & Randolph St,2023,4781
Fort Dearborn Dr & 31st St,2023,4762
Humboldt Blvd & Armitage Ave,2023,4754
Sedgwick St & Schiller St,2023,4735
Lincoln Ave & Belle Plaine Ave,2023,4733
Wentworth Ave & Cermak Rd,2023,4717
Albany Ave & Bloomingdale Ave,2023,4705
Artesian Ave & Hubbard St,2023,4678
Spaulding Ave & Armitage Ave,2023,4669
Ashland Ave & Wrightwood Ave,2023,4664
Paulina St & Montrose Ave,2023,4607
Lincoln Ave & Melrose St,2023,4571
Morgan St & 18th St,2023,4559
Damen Ave & Wellington Ave,2023,4523
Harper Ave & 59th St,2023,4523
Blackstone Ave & Hyde Park Blvd,2023,4385
