end_station_name,year,number_of_rides
King Dr & 83rd St,2022,1
Laflin St & 79th St,2022,1
Laramie Ave & Warwick Ave,2022,1
Lawndale Ave & Polk St,2022,1
Legler Regional Library,2022,1
Linder Ave & Archer Ave,2022,1
Linder Ave & Belmont Ave,2022,1
Marquette Ave & 83rd St,2022,1
May St & 63rd St,2022,1
May St & 78th St,2022,1
Menard Ave & Madison St,2022,1
Michele Clark Magnet High School,2022,1
Milwaukee Ave & Waveland Ave,2022,1
Newcastle Ave & Belmont Ave,2022,1
Newcastle Ave & Wellington Ave,2022,1
Normal Ave & 72nd St,2022,1
Oketo Ave & Belmont Ave,2022,1
Parnell Ave & 103rd St,2022,1
Paul Revere Elementary School,2022,1
Penn Elementary School / KIPP Ascend Middle School,2022,1
Public Rack - 10101 S Stony Island Ave,2022,1
Public Rack - 53rd St & Indiana Ave,2022,1
Public Rack - 63rd & Western Ave S,2022,1
Public Rack - 83rd St (Avalon Park) Metra,2022,1
Public Rack - Ada St & 79th St,2022,1
Public Rack - Al Raby School,2022,1
Public Rack - Ashland Ave & 74th St,2022,1
Public Rack - Austin Branch Chicago Public Library,2022,1
Public Rack - Ave L & 105th St,2022,1
Public Rack - Avenue J & 102nd St,2022,1
Public Rack - Bell Ave & 95th St,2022,1
Public Rack - Bishop St & 81st St,2022,1
Public Rack - Buffalo Ave & 89th St,2022,1
Public Rack - Burnside Academy,2022,1
Public Rack - Central Ave & Congress Pkwy,2022,1
Public Rack - Champlain Ave & 134th St,2022,1
Public Rack - Chappel Ave & 71st St,2022,1
Public Rack - Christiana Ave & 111th St,2022,1
Public Rack - Christiana Ave & 55th St,2022,1
Public Rack - Commercial Ave & 89th St,2022,1
Public Rack - Cottage Grove & 85th St,2022,1
Public Rack - Cottage Grove & 86th St,2022,1
Public Rack - Cottage Grove Ave & 89th Pl,2022,1
Public Rack - Crandon Ave & 80th St,2022,1
Public Rack - Damen Ave & 47th St,2022,1
Public Rack - Damen Ave & 80th St,2022,1
Public Rack - East End Ave & 75th St,2022,1
Public Rack - East End Ave & 87th St,2022,1
Public Rack - Emerald Ave & 43rd St,2022,1
Public Rack - Ewing Ave & 102nd St,2022,1
Public Rack - Ewing Ave & 105th St,2022,1
Public Rack - Ewing Ave & 106th St NW,2022,1
Public Rack - Hamilton Ave & 95th St,2022,1
Public Rack - Harding Ave & 47th St,2022,1
Public Rack - Harvard Ave & 119th St,2022,1
Public Rack - Homan Ave & 111th St,2022,1
Public Rack - Homan Ave & Lake St,2022,1
Public Rack - Houston Ave & 130th St,2022,1
Public Rack - Independence Blvd & Roosevelt,2022,1
Public Rack - Jeffery Blvd & 83rd St,2022,1
Public Rack - Jeffrey Blvd & 71st St,2022,1
Public Rack - Kedvale Ave & 63rd St,2022,1
Public Rack - Kedvale Ave & 63rd St W,2022,1
Public Rack - Kedzie & 103rd St - East,2022,1
Public Rack - Kedzie & 103rd St - W,2022,1
Public Rack - Kedzie Ave & 61st Pl,2022,1
Public Rack - Kedzie Ave & 64th St - SE,2022,1
Public Rack - Kedzie Ave & Pershing Rd,2022,1
Public Rack - Keef Ave & South Chicago Ave,2022,1
Public Rack - Kildare Ave & 63rd St,2022,1
Public Rack - Kildare Ave & Washignton Blvd,2022,1
Public Rack - Kimbark Ave & 63rd St,2022,1
Public Rack - Langley Ave & 87th St,2022,1
Public Rack - Loomis Blvd & 47th St,2022,1
Public Rack - Lotus Ave & Harrison St,2022,1
Public Rack - Mackinaw Ave & 108th St,2022,1
Public Rack - Maplewood Ave & 63rd St,2022,1
Public Rack - Menard Ave & Madison St,2022,1
Public Rack - Michigan Ave & 119th St,2022,1
Public Rack - Mt Greenwood Library N,2022,1
Public Rack - Newcastle Ave & Belmont Ave,2022,1
Public Rack - Nordica Ave & Addison St,2022,1
Public Rack - Oakley Ave & 50th Pl,2022,1
Public Rack - Paul Revere Elementary School,2022,1
Public Rack - Perry Ave & 111th St,2022,1
Public Rack - Piotrowski Park,2022,1
Public Rack - Prairie Ave & Garfield Blvd N,2022,1
Public Rack - Pulaski Rd & 5th Ave,2022,1
Public Rack - Pulaski Rd & Polk St,2022,1
Public Rack - Rutherford Ave & Belmont Ave,2022,1
Public Rack - Sangamon St & 79th St,2022,1
Public Rack - Springfield Ave & 63rd St,2022,1
Public Rack - Stony Island & 95th St,2022,1
Public Rack - Talman Ave & 51st St,2022,1
Public Rack - Wabash Ave & 87th St,2022,1
Public Rack - Waller Ave & Chicago Ave,2022,1
Public Rack - Wentworth Ave & 103rd St,2022,1
Public Rack - Western Ave & 104th St - East,2022,1
Public Rack - Western Ave & 111th St - NW,2022,1
Public Rack - Western Ave & 111th St - SW,2022,1
Public Rack - Western Ave & 116th St,2022,1
Public Rack - Yates Ave & 100th St,2022,1
Stony Island Ave & 86th St,2022,1
The Montessori School of Englewood,2022,1
Throop St & 109th Pl,2022,1
Torrence Ave & 98th St,2022,1
Vincennes Ave & 87th St,2022,1
Wentworth Ave & 79th St,2022,1
Western Ave & 106th St - West,2022,1
Western Ave & 111th St - SE,2022,1
Whippie St & 26th St,2022,1
Wolcott Ave & 61st St,2022,1
Yale Ave & 119th St,2022,1
Zapata Academy,2022,1
Streeter Dr & Grand Ave,2023,61713
DuSable Lake Shore Dr & North Blvd,2023,37301
DuSable Lake Shore Dr & Monroe St,2023,36211
Michigan Ave & Oak St,2023,35775
Clark St & Elm St,2023,32314
Kingsbury St & Kinzie St,2023,31652
Clinton St & Washington Blvd,2023,31026
Wells St & Concord Ln,2023,30970
Millennium Park,2023,29544
Theater on the Lake,2023,29011
Wells St & Elm St,2023,27902
Broadway & Barry Ave,2023,26383
Clinton St & Madison St,2023,25928
Clark St & Armitage Ave,2023,24239
Wilton Ave & Belmont Ave,2023,24187
University Ave & 57th St,2023,24168
Clark St & Lincoln Ave,2023,23574
State St & Chicago Ave,2023,23566
Indiana Ave & Roosevelt Rd,2023,23522
Wabash Ave & Grand Ave,2023,23519
Ellis Ave & 60th St,2023,23114
Dearborn St & Erie St,2023,22185
Wells St & Hubbard St,2023,21713
Sheffield Ave & Fullerton Ave,2023,21588
Michigan Ave & Washington St,2023,21583
Clark St & Wrightwood Ave,2023,21548
Wells St & Huron St,2023,21547
Canal St & Adams St,2023,21545
Clinton St & Jackson Blvd,2023,21339
Sheffield Ave & Waveland Ave,2023,20964
St. Clair St & Erie St,2023,20791
LaSalle St & Illinois St,2023,20654
Shedd Aquarium,2023,20581
Michigan Ave & Lake St,2023,20375
McClurg Ct & Ohio St,2023,20287
Loomis St & Lexington St,2023,20266
DuSable Lake Shore Dr & Diversey Pkwy,2023,20238
Broadway & Waveland Ave,2023,19990
Lincoln Ave & Fullerton Ave,2023,19980
Clark St & Drummond Pl,2023,19921
Dearborn Pkwy & Delaware Pl,2023,19803
Ashland Ave & Division St,2023,19749
Halsted St & Clybourn Ave,2023,19545
Wabash Ave & Roosevelt Rd,2023,19542
Larrabee St & Kingsbury St,2023,19457
Clark St & Newport St,2023,19319
Damen Ave & Pierce Ave,2023,19188
Larrabee St & Webster Ave,2023,19178
Dusable Harbor,2023,19123
New St & Illinois St,2023,19019
Green St & Madison St,2023,18902
Pine Grove Ave & Waveland Ave,2023,18775
DuSable Lake Shore Dr & Belmont Ave,2023,18706
Montrose Harbor,2023,18527
Morgan St & Polk St,2023,18495
Canal St & Madison St,2023,18430
Southport Ave & Roscoe St,2023,18342
Broadway & Cornelia Ave,2023,18141
Desplaines St & Kinzie St,2023,18087
Halsted St & Roscoe St,2023,18031
Ellis Ave & 55th St,2023,17994
Lakeview Ave & Fullerton Pkwy,2023,17982
Southport Ave & Waveland Ave,2023,17957
Dearborn St & Monroe St,2023,17920
Wells St & Evergreen Ave,2023,17247
Kingsbury St & Erie St,2023,17246
State St & 33rd St,2023,17241
Orleans St & Merchandise Mart Plaza,2023,17200
Daley Center Plaza,2023,17158
Halsted St & Wrightwood Ave,2023,17074
Sheffield Ave & Webster Ave,2023,17032
DuSable Lake Shore Dr & Wellington Ave,2023,16884
Halsted St & Polk St,2023,16619
Sheridan Rd & Irving Park Rd,2023,16260
Fairbanks Ct & Grand Ave,2023,16251
Federal St & Polk St,2023,16163
Clark St & Schiller St,2023,16133
Clinton St & Lake St,2023,16089
State St & Randolph St,2023,15857
Wilton Ave & Diversey Pkwy,2023,15574
Peoria St & Jackson Blvd,2023,15522
Franklin St & Jackson Blvd,2023,15399
Sheffield Ave & Wellington Ave,2023,15345
Columbus Dr & Randolph St,2023,15331
Clark St & Wellington Ave,2023,15175
Broadway & Belmont Ave,2023,15162
State St & Kinzie St,2023,15113
Franklin St & Monroe St,2023,15069
Stockton Dr & Wrightwood Ave,2023,14949
Sheffield Ave & Wrightwood Ave,2023,14902
Halsted St & Dickens Ave,2023,14858
LaSalle St & Jackson Blvd,2023,14829
Racine Ave & Fullerton Ave,2023,14791
Ravenswood Ave & Lawrence Ave,2023,14750
Michigan Ave & 8th St,2023,14568
Rush St & Cedar St,2023,14546
Kimbark Ave & 53rd St,2023,14513
Clark St & Lake St,2023,14450
Halsted St & Fulton St,2023,14424
Adler Planetarium,2023,14279
Pine Grove Ave & Irving Park Rd,2023,14180
Franklin St & Lake St,2023,14132
Canal St & Monroe St,2023,14107
MLK Jr Dr & 29th St,2023,13726
Broadway & Sheridan Rd,2023,13714
Sheridan Rd & Montrose Ave,2023,13682
Rush St & Superior St,2023,13678
McClurg Ct & Erie St,2023,13585
Sangamon St & Lake St,2023,13448
Clark St & Winnemac Ave,2023,13444
Sedgwick St & Webster Ave,2023,13320
Mies van der Rohe Way & Chicago Ave,2023,13237
Milwaukee Ave & Grand Ave,2023,13183
Franklin St & Illinois St,2023,13132
Sheffield Ave & Kingsbury St,2023,13089
Sedgwick St & North Ave,2023,13073
Clark St & Randolph St,2023,13053
Wood St & Milwaukee Ave,2023,13016
Clarendon Ave & Gordon Ter,2023,13005
Burling St & Diversey Pkwy,2023,12981
Wabash Ave & 9th St,2023,12858
Canal St & Jackson Blvd,2023,12843
Mies van der Rohe Way & Chestnut St,2023,12807
Aberdeen St & Jackson Blvd,2023,12512
Southport Ave & Wellington Ave,2023,12422
May St & Taylor St,2023,12342
Wabash Ave & Wacker Pl,2023,12297
Lincoln Ave & Diversey Pkwy,2023,12058
Michigan Ave & Jackson Blvd,2023,12033
Calumet Ave & 33rd St,2023,11912
Honore St & Division St,2023,11871
Racine Ave & Belmont Ave,2023,11773
Lincoln Park Conservatory,2023,11759
Clark St & Grace St,2023,11755
Ogden Ave & Chicago Ave,2023,11734
Franklin St & Chicago Ave,2023,11683
Kedzie Ave & Milwaukee Ave,2023,11622
Clark St & North Ave,2023,11619
Milwaukee Ave & Wabansia Ave,2023,11538
Desplaines St & Jackson Blvd,2023,11454
Lakefront Trail & Bryn Mawr Ave,2023,11365
Sedgwick St & Huron St,2023,11085
Greenview Ave & Fullerton Ave,2023,11035
Southport Ave & Wrightwood Ave,2023,11026
Clark St & Berwyn Ave,2023,11002
Michigan Ave & 14th St,2023,11000
Southport Ave & Belmont Ave,2023,10818
Dayton St & North Ave,2023,10686
900 W Harrison St,2023,10657
Field Blvd & South Water St,2023,10598
Cityfront Plaza Dr & Pioneer Ct,2023,10594
Aberdeen St & Randolph St,2023,10495
Clifton Ave & Armitage Ave,2023,10466
Broadway & Wilson Ave,2023,10399
Damen Ave & Cortland St,2023,10306
California Ave & Milwaukee Ave,2023,10172
Halsted St & Maxwell St,2023,10091
Shore Dr & 55th St,2023,10026
Ritchie Ct & Banks St,2023,10004
Wabash Ave & Adams St,2023,9951
Larrabee St & Division St,2023,9900
Clarendon Ave & Junior Ter,2023,9869
Damen Ave & Chicago Ave,2023,9860
LaSalle Dr & Huron St,2023,9781
Bissell St & Armitage Ave*,2023,9584
Michigan Ave & Madison St,2023,9557
Sheridan Rd & Buena Ave,2023,9475
Halsted St & Willow St,2023,9414
Carpenter St & Huron St,2023,9388
Ellis Ave & 58th St,2023,9387
Clark St & Chicago Ave,2023,9343
Stetson Ave & South Water St,2023,9331
Burnham Harbor,2023,9294
Franklin St & Adams St (Temp),2023,9260
Sheffield Ave & Willow St,2023,9230
Wacker Dr & Washington St,2023,9226
Michigan Ave & Pearson St,2023,9165
Rush St & Hubbard St,2023,9157
Wells St & Polk St,2023,9054
Aberdeen St & Monroe St,2023,9053
State St & Van Buren St,2023,9010
Southport Ave & Clybourn Ave,2023,8984
Clark St & Leland Ave,2023,8961
Western Ave & Winnebago Ave,2023,8951
Dearborn St & Adams St,2023,8900
Morgan St & Lake St*,2023,8840
Wells St & Walton St,2023,8801
Michigan Ave & 18th St,2023,8703
Lake Park Ave & 56th St,2023,8687
Elston Ave & Cortland St,2023,8672
Halsted St & Roosevelt Rd,2023,8625
Ogden Ave & Race Ave,2023,8594
Wolcott Ave & Polk St,2023,8529
Larrabee St & Oak St,2023,8495
Clark St & Bryn Mawr Ave,2023,8426
Jefferson St & Monroe St,2023,8422
Woodlawn Ave & 55th St,2023,8422
Desplaines St & Randolph St,2023,8269
Green St & Washington Blvd,2023,8244
Orleans St & Hubbard St,2023,8182
Lakefront Trail & Wilson Ave,2023,8176
Orleans St & Chestnut St (NEXT Apts),2023,8154
Green St & Randolph St*,2023,8133
Wabash Ave & 16th St,2023,8067
Field Museum,2023,7956
Calumet Ave & 18th St,2023,7953
Paulina St & Flournoy St,2023,7900
Eckhart Park,2023,7866
Larrabee St & Armitage Ave,2023,7855
Ashland Ave & Blackhawk St,2023,7847
Rhodes Ave & 32nd St,2023,7814
Clinton St & Roosevelt Rd,2023,7633
Financial Pl & Ida B Wells Dr,2023,7607
Racine Ave & Congress Pkwy,2023,7594
Sangamon St & Washington Blvd,2023,7566
LaSalle St & Washington St,2023,7564
Elizabeth St & Randolph St,2023,7549
Broadway & Argyle St,2023,7519
Western Ave & Leland Ave,2023,7454
Lincoln Ave & Roscoe St*,2023,7380
Southport Ave & Irving Park Rd,2023,7266
Damen Ave & Division St,2023,7265
Racine Ave & Wrightwood Ave,2023,7077
Fairbanks St & Superior St,2023,7011
State St & 35th St,2023,7009
State St & Pearson St,2023,7009
Broadway & Berwyn Ave,2023,6977
Wood St & Chicago Ave,2023,6976
State St & Harrison St,2023,6909
Ashland Ave & Wellington Ave,2023,6907
Michigan Ave & Ida B Wells Dr,2023,6904
Damen Ave & Thomas St (Augusta Blvd),2023,6765
Broadway & Thorndale Ave,2023,6680
Paulina Ave & North Ave,2023,6644
Lake Park Ave & 53rd St,2023,6621
Throop St & Taylor St,2023,6596
McCormick Place,2023,6579
Ashland Ave & Grace St,2023,6550
Sheridan Rd & Argyle St,2023,6549
Leavitt St & North Ave,2023,6465
Larrabee St & North Ave,2023,6448
Canal St & Taylor St,2023,6446
Clark St & Montrose Ave,2023,6350
Marine Dr & Ainslie St,2023,6335
Clark St & Ida B Wells Dr,2023,6333
Greenview Ave & Diversey Pkwy,2023,6329
Cornell Ave & Hyde Park Blvd,2023,6308
Delano Ct & Roosevelt Rd,2023,6308
Broadway & Granville Ave,2023,6270
Ashland Ave & Augusta Blvd,2023,6269
Western Ave & Walton St,2023,6250
Ada St & Washington Blvd,2023,6202
Winthrop Ave & Lawrence Ave,2023,6163
Clybourn Ave & Division St,2023,6116
Emerald Ave & 31st St,2023,6097
Ashland Ave & Chicago Ave,2023,6086
Wood St & Taylor St (Temp),2023,6069
Elizabeth St & Fulton St,2023,6061
Cannon Dr & Fullerton Ave,2023,6040
Walsh Park,2023,6035
Broadway & Ridge Ave,2023,6016
Logan Blvd & Elston Ave,2023,5990
Racine Ave & 18th St,2023,5944
Sheridan Rd & Noyes St (NU),2023,5881
Hermitage Ave & Polk St,2023,5874
Seeley Ave & Roscoe St,2023,5858
Loomis St & Jackson Blvd,2023,5815
Sheridan Rd & Lawrence Ave,2023,5781
Lincoln Ave & Sunnyside Ave,2023,5665
Clarendon Ave & Leland Ave,2023,5658
Damen Ave & Leland Ave,2023,5624
Wells St & Institute Pl,2023,5600
Blue Island Ave & 18th St,2023,5560
Wood St & Augusta Blvd,2023,5539
California Ave & Cortez St,2023,5536
Indiana Ave & 31st St,2023,5457
Leavitt St & Armitage Ave,2023,5447
Larrabee St & Menomonee St,2023,5316
Orleans St & Elm St,2023,5307
Dearborn St & Van Buren St,2023,5264
Ravenswood Ave & Irving Park Rd,2023,5243
Western Ave & Fillmore St,2023,5225
Benson Ave & Church St,2023,5223
Ellis Ave & 53rd St,2023,5218
Wentworth Ave & Cermak Rd,2023,5215
Western Ave & Division St,2023,5215
Wolcott (Ravenswood) Ave & Montrose Ave,2023,5201
Damen Ave & Charleston St,2023,5198
Ashland Ave & Wrightwood Ave,2023,5151
Leavitt St & Chicago Ave,2023,5132
Campbell Ave & North Ave,2023,5126
Lincoln Ave & Belle Plaine Ave,2023,5103
Damen Ave & Grand Ave,2023,5079
Clark St & 9th St (AMLI),2023,4986
Lincoln Ave & Melrose St,2023,4960
Ashland Ave & Grand Ave,2023,4941
Spaulding Ave & Armitage Ave,2023,4895
Shields Ave & 31st St,2023,4865
Damen Ave & Wellington Ave,2023,4777
Morgan St & 18th St,2023,4765
N Green St & W Lake St,2023,4762
Racine Ave & Washington Blvd,2023,4736
LaSalle St & Adams St,2023,4720
Museum of Science and Industry,2023,4698
Humboldt Blvd & Armitage Ave,2023,4672
Wentworth Ave & Cermak Rd*,2023,4635
Fort Dearborn Dr & 31st St,2023,4629
Damen Ave & Clybourn Ave,2023,4622
Ashland Ave & Lake St,2023,4605
Noble St & Milwaukee Ave,2023,4578
Paulina St & Montrose Ave,2023,4506
Racine Ave & Randolph St,2023,4441
Leavitt St & Division St,2023,4334
Stave St & Armitage Ave,2023,4316
Morgan Ave & 14th Pl,2023,4267
Calumet Ave & 21st St,2023,4250
Blackstone Ave & Hyde Park Blvd,2023,4233
Wood St & Hubbard St,2023,4225
Albany Ave & Bloomingdale Ave,2023,4212
Paulina St & 18th St,2023,4183
Sheridan Rd & Loyola Ave,2023,4174
Clinton St & Tilden St,2023,4168
Damen Ave & Foster Ave,2023,4164
Sedgwick St & Schiller St,2023,4136
Lincoln Ave & Waveland Ave,2023,4106
Glenwood Ave & Morse Ave,2023,4086
Calumet Ave & 35th St,2023,4046
Buckingham Fountain (Temp),2023,3970
Chicago Ave & Sheridan Rd,2023,3964
Harper Ave & 59th St,2023,3873
California Ave & Division St,2023,3859
Lincoln Ave & Addison St,2023,3833
California Ave & Francis Pl,2023,3801
Ashland Ave & 13th St,2023,3793
Wentworth Ave & 33rd St,2023,3782
Leavitt St & Belmont Ave,2023,3753
Damen Ave & Melrose Ave,2023,3748
California Ave & North Ave,2023,3710
California Ave & Altgeld St,2023,3682
Milwaukee Ave & Rockwell St,2023,3682
Lincoln Ave & Belmont Ave (Temp),2023,3656
Ogden Ave & Congress Pkwy,2023,3618
Morgan St & 31st St,2023,3614
Fort Dearborn Dr & 31st St*,2023,3609
California Ave & Fletcher St,2023,3596
Kedzie Ave & Palmer Ct,2023,3588
Artesian Ave & Hubbard St,2023,3555
Ravenswood Ave & Berteau Ave,2023,3509
Lake Park Ave & 35th St,2023,3453
Wabash Ave & Cermak Rd,2023,3451
Clark St & Lunt Ave,2023,3447
Halsted St & 18th St,2023,3433
Damen Ave & Sunnyside Ave,2023,3368
Clark St & Elmdale Ave,2023,3339
Winchester Ave & Elston Ave,2023,3301
Western Ave & Congress Pkwy,2023,3292
Blackstone Ave & 59th St,2023,3281
St. Louis Ave & Fullerton Ave,2023,3234
Talman Ave & Addison St,2023,3215
Southport Ave & Clark St,2023,3202
Clinton St & 18th St,2023,3180
California Ave & Montrose Ave,2023,3150
Western Ave & Roscoe St,2023,3128
Clark St & Schreiber Ave,2023,3124
Richmond St & Diversey Ave,2023,3114
Shields Ave & 28th Pl,2023,3111
Buckingham Fountain,2023,3084
Campbell Ave & Fullerton Ave,2023,2980
Greenview Ave & Jarvis Ave,2023,2971
Rockwell St & Eastwood Ave,2023,2968
Wood St & Webster Ave,2023,2967
Halsted St & 35th St,2023,2946
Lincoln Ave & Byron St,2023,2930
Elston Ave & Wabansia Ave,2023,2866
Ashland Ave & Belle Plaine Ave,2023,2863
Campbell Ave & Montrose Ave,2023,2857
Sheridan Rd & Columbia Ave,2023,2855
Leavitt St & Addison St,2023,2793
Indiana Ave & 26th St,2023,2782
Hampden Ct & Diversey Ave,2023,2770
Claremont Ave & Hirsch St,2023,2751
Emerald Ave & 28th St,2023,2737
State St & 19th St,2023,2722
Damen Ave & Walnut (Lake) St,2023,2676
Laflin St & Cullerton St,2023,2656
Canal St & Harrison St,2023,2626
University Library (NU),2023,2609
Racine Ave & 15th St,2023,2604
Halsted St & 21st St,2023,2598
Central Park Ave & Bloomingdale Ave,2023,2565
Damen Ave & Madison St,2023,2559
Chicago Ave & Washington St,2023,2553
Leavitt St & Lawrence Ave,2023,2526
Halsted St & Archer Ave,2023,2502
Woodlawn Ave & 58th St,2023,2495
Troy St & North Ave,2023,2464
Kimball Ave & Belmont Ave,2023,2454
Oakley Ave & Irving Park Rd,2023,2451
University Ave & 59th St,2023,2436
Washtenaw Ave & Lawrence Ave,2023,2417
Central Park Ave & Elbridge Ave,2023,2413
Troy St & Elston Ave,2023,2404
Milwaukee Ave & Fullerton Ave,2023,2387
May St & Cullerton St,2023,2382
Damen Ave & Cullerton St,2023,2381
Hoyne Ave & Balmoral Ave,2023,2297
Lincoln Ave & Winona St,2023,2292
Kosciuszko Park,2023,2288
Lake Park Ave & 47th St,2023,2279
California Ave & Byron St,2023,2264
Western Ave & Monroe St,2023,2247
Avers Ave & Belmont Ave,2023,2244
Wentworth Ave & 35th St,2023,2215
Wilton Ave & Diversey Pkwy*,2023,2207
W Armitage Ave & N Sheffield Ave,2023,2152
W Oakdale Ave & N Broadway,2023,2135
Ogden Ave & Roosevelt Rd,2023,2129
Paulina St & Howard St,2023,2113
Clark St & Columbia Ave,2023,2063
Smith Park,2023,2040
Cherry Ave & Blackhawk St,2023,2038
Greenwood Ave & 47th St,2023,2013
Wells St & 19th St,2023,1970
Francisco Ave & Foster Ave,2023,1968
Avondale Ave & Irving Park Rd,2023,1955
Malcolm X College,2023,1866
Wallace St & 35th St,2023,1840
Albany Ave & Montrose Ave,2023,1816
Kedzie Ave & Leland Ave,2023,1816
Drexel Ave & 60th St,2023,1815
Manor Ave & Leland Ave,2023,1811
Winchester (Ravenswood) Ave & Balmoral Ave,2023,1775
Glenwood Ave & Touhy Ave,2023,1771
Wentworth Ave & 24th St,2023,1757
Sheridan Rd & Greenleaf Ave,2023,1747
Racine Ave & 35th St,2023,1736
Halsted St & North Branch St,2023,1652
Western Ave & Lunt Ave,2023,1651
Noble St & Milwaukee Ave (Temp),2023,1644
Damen Ave & Wabansia Ave,2023,1618
N Carpenter St & W Lake St,2023,1615
Spaulding Ave & Division St,2023,1539
Christiana Ave & Lawrence Ave,2023,1525
Drake Ave & Addison St,2023,1517
Monticello Ave & Irving Park Rd,2023,1503
Ashland Ave & Archer Ave,2023,1477
Woodlawn Ave & Lake Park Ave,2023,1463
Western Ave & 21st St,2023,1455
Rockwell St & Fletcher St,2023,1445
MLK Jr Dr & Pershing Rd,2023,1398
Eastlake Ter & Howard St,2023,1397
Bernard St & Elston Ave,2023,1347
Cottage Grove Ave & 51st St,2023,1343
Cottage Grove Ave & 63rd St,2023,1334
Clinton St & Polk St,2023,1303
State St & 29th St,2023,1288
Warren Park West,2023,1266
Kedzie Ave & Foster Ave,2023,1239
Western Ave & Granville Ave,2023,1230
Knox Ave & Montrose Ave,2023,1211
South Shore Dr & 67th St,2023,1209
Drake Ave & Montrose Ave,2023,1205
Cottage Grove Ave & 47th St,2023,1187
N Sheffield Ave & W Wellington Ave,2023,1182
Normal Ave & Archer Ave,2023,1182
Evanston Civic Center,2023,1167
N Paulina St & Lincoln Ave,2023,1158
Sawyer Ave & Irving Park Rd,2023,1148
Loomis St & Archer Ave,2023,1126
St. Louis Ave & Balmoral Ave,2023,1060
South Shore Dr & 71st St,2023,1056
Racine Ave & 13th St,2023,1045
Central Park Ave & North Ave,2023,1037
Central St Metra,2023,1035
Elston Ave & George St,2023,1035
Milwaukee Ave & Cuyler Ave,2023,1025
Clark St & Jarvis Ave,2023,1024
Cottage Grove Ave & 43rd St,2023,1024
Dorchester Ave & 63rd St,2023,1013
Cottage Grove Ave & Oakwood Blvd,2023,998
Keystone Ave & Fullerton Ave,2023,992
Campbell Ave & Augusta Blvd,2023,989
Western Ave & Howard St,2023,980
Central St & Girard Ave,2023,955
N Southport Ave & W Newport Ave,2023,946
Prairie Ave & Garfield Blvd,2023,942
63rd St Beach,2023,908
Calumet Ave & 51st St,2023,907
MTV Hubbard St,2023,905
Francisco Ave & Montrose Ave,2023,904
Keystone Ave & Montrose Ave,2023,904
Dorchester Ave & 49th St,2023,900
Kedzie Ave & Bryn Mawr Ave,2023,897
Leavitt St & Archer Ave,2023,866
Budlong Woods Library,2023,865
Clark St & Touhy Ave,2023,865
N Shore Channel Trail & Argyle St,2023,854
Wood St & 35th St,2023,852
Kildare Ave & Montrose Ave,2023,835
Western Ave & Grace St,2023,822
Bosworth Ave & Howard St,2023,818
Warren Park East,2023,800
Kedzie Ave & Chicago Ave,2023,785
Dodge Ave & Church St,2023,763
Prairie Ave & 43rd St,2023,759
Elmwood Ave & Austin St,2023,748
Oakley Ave & Touhy Ave,2023,739
Ridge Blvd & Touhy Ave,2023,730
Kedzie Ave & Lake St,2023,713
California Ave & 21st St,2023,692
Elston Ave & Henderson St,2023,689
Western Ave & Berteau Ave,2023,684
DuSable Museum,2023,683
Troy St & Grace St,2023,669
California Ave & Lake St,2023,654
Western Ave & Gunnison St,2023,652
2112 W Peterson Ave,2023,648
MLK Jr Dr & 47th St,2023,647
California Ave & Francis Pl (Temp),2023,640
Halsted St & 37th St,2023,619
Ridge Blvd & Howard St,2023,617
Kedzie Ave & George St,2023,612
Long & Irving Park,2023,593
Washtenaw Ave & Polk St,2023,592
Central Park Ave & Ogden Ave,2023,591
Conservatory Dr & Lake St,2023,582
State St & 95th St,2023,576
Western Ave & 24th St,2023,572
Archer (Damen) Ave & 37th St,2023,569
Maplewood Ave & Peterson Ave,2023,562
California Ave & 23rd Pl,2023,554
Damen Ave & Coulter St,2023,553
Valli Produce - Evanston Plaza,2023,552
Francisco Ave & Chicago Ave,2023,545
Kilbourn Ave & Milwaukee Ave,2023,537
Dodge Ave & Mulford St,2023,536
N Damen Ave & W Chicago Ave,2023,528
Kilbourn Ave & Irving Park Rd,2023,521
Dodge Ave & Main St,2023,492
Kedzie Ave & 48th Pl,2023,492
Sacramento Blvd & Addison St,2023,486
Eggleston Ave & 69th St,2023,481
Lincolnwood Dr & Central St,2023,475
California Ave & Winona St,2023,468
Public Rack - Kostner Ave & Armitage Ave,2023,465
Pulaski Rd & Eddy St,2023,464
Sacramento Blvd & Franklin Blvd,2023,430
Washtenaw Ave & Ogden Ave,2023,427
Campbell Ave & Irving Park Rd,2023,407
Jeffery Blvd & 67th St,2023,404
Wentworth Ave & 24th St (Temp),2023,400
Wolcott Ave & Fargo Ave,2023,400
Albany Ave & Belmont Ave,2023,398
Eberhart Ave & 61st St,2023,395
Harlem & Irving Park,2023,392
Francisco Ave & Bloomingdale Ave,2023,391
Cottage Grove Ave & 67th St,2023,389
Whipple/Irving Park,2023,388
Narragansett & Wrightwood,2023,375
Western Blvd & 48th Pl,2023,375
Jeffery Blvd & 71st St,2023,373
Lincoln Ave & Peterson Ave,2023,372
Pulaski Rd & 51st St,2023,368
Rockwell St & Cermak Rd,2023,368
Princeton Ave & 47th St,2023,365
Stony Island Ave & 71st St,2023,361
Lincoln Ave & Balmoral Ave,2023,359
W Washington Blvd & N Peoria St,2023,358
South Shore Dr & 74th St,2023,355
Chicago State University,2023,354
