end_station_name,year,number_of_rides
Claremont Ave & Hirsch St,2019,3158
Glenwood Ave & Morse Ave,2019,3135
Ashland Ave & Lake St,2019,3098
Indiana Ave & 31st St,2019,3094
Harper Ave & 59th St,2019,3083
Walsh Park,2019,3075
Winchester Ave & Elston Ave,2019,3066
Sheridan Rd & Noyes St (NU),2019,3028
Chicago Ave & Washington St,2019,3027
Calumet Ave & 33rd St,2019,2986
Canal St & Harrison St,2019,2969
Fairbanks St & Superior St (*),2019,2969
Ravenswood Ave & Berteau Ave,2019,2958
California Ave & Francis Pl,2019,2865
State St & 19th St,2019,2847
Racine Ave (May St) & Fulton St,2019,2789
State St & 35th St,2019,2760
Western Ave & Fillmore St (*),2019,2754
Elston Ave & Wabansia Ave,2019,2743
Campbell Ave & Fullerton Ave,2019,2720
Western Ave & Roscoe St,2019,2680
Leavitt St & Division St (*),2019,2671
Talman Ave & Addison St,2019,2656
Ashland Ave & Belle Plaine Ave,2019,2650
Paulina St & Howard St,2019,2647
Lincoln Ave & Addison St,2019,2642
California Ave & Altgeld St,2019,2639
Damen Ave & Melrose Ave,2019,2625
Campbell Ave & Montrose Ave,2019,2587
Clinton St & 18th St,2019,2584
Orleans St & Elm St,2019,2569
Southport Ave & Clark St,2019,2563
Drake Ave & Fullerton Ave,2019,2554
Stave St & Armitage Ave,2019,2554
Damen Ave & Sunnyside Ave,2019,2533
Paulina St & Montrose Ave,2019,2520
Dearborn St & Van Buren St (*),2019,2518
Lake Park Ave & 35th St,2019,2515
Wolcott (Ravenswood) Ave & Montrose Ave,2019,2510
Clark St & Elmdale Ave,2019,2503
University Library (NU),2019,2465
Halsted St & 18th St,2019,2400
Ashland Ave & 13th St,2019,2373
Richmond St & Diversey Ave,2019,2371
California Ave & Division St,2019,2317
California Ave & Fletcher St,2019,2316
Leavitt St & Lawrence Ave,2019,2267
Wells St & 19th St,2019,2214
Indiana Ave & 26th St,2019,2191
Central Park Ave & Bloomingdale Ave,2019,2154
Lake Park Ave & 47th St,2019,2119
Damen Ave & Walnut (Lake) St (*),2019,2093
Emerald Ave & 28th St,2019,2087
Rockwell St & Eastwood Ave,2019,2078
Racine Ave & 15th St,2019,2056
Oakley Ave & Irving Park Rd,2019,2029
Chicago Ave & Sheridan Rd,2019,2027
Damen Ave & Madison St,2019,2023
Loomis St & Taylor St (*),2019,2023
Winchester (Ravenswood) Ave & Balmoral Ave,2019,2009
Shields Ave & 31st St,2019,1989
Ashland Ave & Lake St (Temp),2019,1974
Troy St & Elston Ave,2019,1967
Kosciuszko Park,2019,1961
California Ave & Montrose Ave,2019,1941
Eastlake Ter & Rogers Ave,2019,1940
May St & Cullerton St,2019,1924
Damen Ave & Cullerton St,2019,1914
Rhodes Ave & 32nd St,2019,1905
Orleans St & Elm St (*),2019,1893
Sheridan Rd & Columbia Ave,2019,1891
Chicago Ave & Dempster St,2019,1872
Washtenaw Ave & Lawrence Ave,2019,1859
Morgan St & 31st St,2019,1847
Halsted St & Archer Ave,2019,1842
Western Ave & Congress Pkwy,2019,1805
Leavitt St & Addison St,2019,1780
Western Ave & Monroe St,2019,1757
Leavitt St & Belmont Ave (*),2019,1748
Greenview Ave & Jarvis Ave,2019,1723
Lincoln Ave & Winona St,2019,1703
Avondale Ave & Irving Park Rd,2019,1668
Wentworth Ave & 33rd St,2019,1658
Wentworth Ave & 35th St,2019,1632
Hoyne Ave & Balmoral Ave,2019,1619
Halsted St & North Branch St,2019,1585
Central St Metra,2019,1579
Ogden Ave & Roosevelt Rd,2019,1572
Kimball Ave & Belmont Ave,2019,1558
Ashland Ave & 21st St,2019,1526
Francisco Ave & Foster Ave,2019,1516
Troy St & North Ave,2019,1512
Sheridan Rd & Greenleaf Ave,2019,1492
Halsted St & 21st St,2019,1481
Clark St & Schreiber Ave,2019,1458
Drake Ave & Addison St,2019,1450
Central Park Ave & Elbridge Ave,2019,1445
